Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2570.854	-2896.081	325.2266	1.502897	0.3998633	0.653689	0.346311	1.778488
6	-2574.312	-2899.595	325.2826	1.590957	0.4278781	0.520098	0.479902	1.639342
12	-2571.241	-2896.045	324.8038	1.590957	0.4701546	0.628187	0.371813	1.920135
18	-2577.473	-2902.561	325.0886	1.616448	0.4906733	0.538974	0.461026	1.681074
24	-2566.756	-2891.843	325.0874	1.52126	0.462978	0.507661	0.492339	1.782078
30	-2561.731	-2886.542	324.8108	1.506961	0.4477301	0.437234	0.562766	1.998252
36	-2574.404	-2899.41	325.0062	1.49992	0.4907887	0.651744	0.348256	1.820189
42	-2565.294	-2889.966	324.6722	1.499576	0.468096	0.609909	0.390091	2.071283
48	-2562.877	-2887.93	325.0532	1.620082	0.5836238	0.582113	0.417887	1.598601
54	-2579.349	-2904.005	324.6566	1.564825	0.437314	0.631054	0.368946	2.074519
60	-2558.319	-2883.23	324.911	1.498446	0.4642716	0.646837	0.353163	1.917106
66	-2551.76	-2876.972	325.2126	1.587224	0.4711455	0.607818	0.392182	1.636934
72	-2558.741	-2883.876	325.1359	1.587224	0.5356962	0.463871	0.536129	1.615606
78	-2557.56	-2882.719	325.1586	1.703224	0.6227398	0.613971	0.386029	1.41498
84	-2582.011	-2906.835	324.8234	1.492697	0.4919368	0.64683	0.35317	1.948201
90	-2554.03	-2878.766	324.736	1.510166	0.535023	0.64683	0.35317	1.948201
96	-2577.029	-2902.131	325.1019	1.522888	0.3973125	0.632789	0.367211	1.854168
102	-2582.106	-2907.319	325.2132	1.479602	0.423986	0.574403	0.425597	1.772304
108	-2585.412	-2910.562	325.1496	1.479602	0.4646755	0.574403	0.425597	1.765737
114	-2586.711	-2910.49	323.779	1.380894	0.7066672	0.631619	0.368381	2.492241
120	-2565.178	-2890.002	324.8239	1.488756	0.4476309	0.556935	0.443065	2.001734
126	-2584.572	-2908.385	323.8129	1.487486	0.5361621	0.556935	0.443065	2.555976
132	-2582.596	-2907.108	324.5122	1.403177	0.4504027	0.556935	0.443065	2.258223
138	-2575.366	-2899.828	324.4619	1.400694	0.5498486	0.556935	0.443065	2.185991
144	-2572.494	-2897.817	325.3234	1.669733	0.4188271	0.677069	0.322931	1.564606
150	-2556.847	-2882.106	325.2595	1.672072	0.464689	0.525563	0.474437	1.549071
156	-2584.74	-2909.475	324.7355	1.612928	0.6099851	0.517665	0.482335	1.801538
162	-2584.031	-2909.104	325.0726	1.533959	0.4482797	0.599544	0.400456	1.801538
168	-2574.953	-2900.058	325.1047	1.547043	0.4429758	0.657412	0.342588	1.776738
174	-2552.62	-2877.672	325.0515	1.566517	0.5487744	0.550173	0.449827	1.676423
180	-2546.907	-2871.661	324.7537	1.56511	0.5592132	0.605611	0.394389	1.873584
186	-2547.281	-2872.113	324.8327	1.594835	0.4643429	0.594526	0.405474	1.904758
192	-2546.837	-2871.79	324.9535	1.454523	0.4756096	0.611907	0.388093	1.904758
198	-2559.728	-2884.52	324.7922	1.408717	0.6077367	0.548332	0.451668	1.904758
204	-2559.149	-2884.25	325.1007	1.580136	0.4663029	0.506978	0.493022	1.727604
210	-2568.968	-2894.253	325.2851	1.691692	0.4967118	0.712418	0.287582	1.47461
216	-2570.337	-2895.734	325.3973	1.742959	0.4804463	0.534497	0.465503	1.369622
222	-2558.267	-2883.675	325.4085	1.750609	0.6438171	0.575766	0.424234	1.146344
228	-2562.662	-2888.347	325.6854	1.671347	0.5118053	0.615843	0.384157	1.146344
234	-2575.792	-2901.527	325.7346	1.615281	0.3457829	0.606633	0.393367	1.4052
240	-2568.989	-2894.314	325.3251	1.696983	0.5516753	0.613609	0.386391	1.371901
246	-2571.397	-2896.8	325.4034	1.696983	0.4832117	0.538853	0.461147	1.397201
252	-2548.481	-2873.698	325.2162	1.746493	0.5694102	0.602342	0.397658	1.397201
258	-2569.255	-2894.735	325.4808	1.798514	0.5694102	0.594612	0.405388	1.134983
264	-2558.152	-2883.663	325.5107	1.852041	0.5407897	0.511168	0.488832	1.099276
270	-2555.868	-2881.417	325.5487	1.852041	0.5935888	0.509331	0.490669	0.9858183
276	-2563.428	-2888.943	325.5148	1.852041	0.5180001	0.579242	0.420758	1.128329
282	-2553.756	-2879.395	325.6392	1.722161	0.4911491	0.490733	0.509267	1.172237
288	-2551.32	-2876.807	325.487	1.714005	0.467158	0.672635	0.327365	1.339599
294	-2562.472	-2887.941	325.469	1.733953	0.3800396	0.663218	0.336782	1.463824
300	-2560.566	-2885.767	325.2011	1.626429	0.464324	0.570084	0.429916	1.625478
